symbol,bucket
EIHOTEL.NSE,small
ELECON.NSE,small
ELGIEQUIP.NSE,small
EMAMILTD.NSE,small
EMCURE.NSE,small
EMMVEE.NSE,small
ENGINERSIN.NSE,small
ERIS.NSE,small
FACT.NSE,small
FINCABLES.NSE,small
FSL.NSE,small
FIVESTAR.NSE,small
FORCEMOT.NSE,small
GABRIEL.NSE,small
GALLANTT.NSE,small
GRSE.NSE,small
GILLETTE.NSE,small
GLAND.NSE,small
GODIGIT.NSE,small
GPIL.NSE,small
GRANULES.NSE,small
GRAPHITE.NSE,small
GRAVITA.NSE,small
GESHIP.NSE,small
GMDCLTD.NSE,small
HEG.NSE,small
HBLENGINE.NSE,small
HFCL.NSE,small
HSCL.NSE,small
HINDCOPPER.NSE,small
HOMEFIRST.NSE,small
HONASA.NSE,small
IDBI.NSE,small
IFCI.NSE,small
IIFL.NSE,small
IRB.NSE,small
IRCON.NSE,small
ITI.NSE,small
INDGN.NSE,small
INDIACEM.NSE,small
INDIAMART.NSE,small
IEX.NSE,small
IOB.NSE,small
IGL.NSE,small
INOXWIND.NSE,small
INTELLECT.NSE,small
IGIL.NSE,small
IKS.NSE,small
JBMA.NSE,small
JKTYRE.NSE,small
JMFINANCIL.NSE,small
JSWCEMENT.NSE,small
JSWDULUX.NSE,small
JAINREC.NSE,small
JPPOWER.NSE,small
J&KBANK.NSE,small
JINDALSAW.NSE,small
JUBLINGREA.NSE,small
JUBLPHARMA.NSE,small
JWL.NSE,small
JYOTICNC.NSE,small
KAJARIACER.NSE,small
KPIL.NSE,small
KARURVYSYA.NSE,small
KAYNES.NSE,small
KEC.NSE,small
KFINTECH.NSE,small
KIRLOSENG.NSE,small
KIMS.NSE,small
LTFOODS.NSE,small
LATENTVIEW.NSE,small
THELEELA.NSE,small
LEMONTREE.NSE,small
MMTC.NSE,small
MGL.NSE,small
MANAPPURAM.NSE,small
MRPL.NSE,small
MEESHO.NSE,small
MINDACORP.NSE,small
MSUMI.NSE,small
NATCOPHARM.NSE,small
NBCC.NSE,small
NCC.NSE,small
NSLNISP.NSE,small
NH.NSE,small
NAVA.NSE,small
NAVINFLUOR.NSE,small
NETWEB.NSE,small
NEULANDLAB.NSE,small
NEWGEN.NSE,small
NIVABUPA.NSE,small
NUVAMA.NSE,small
NUVOCO.NSE,small
OLAELEC.NSE,small
OLECTRA.NSE,small
ONESOURCE.NSE,small
PCBL.NSE,small
PGEL.NSE,small
PNBHOUSING.NSE,small
PTCIL.NSE,small
PVRINOX.NSE,small
PARADEEP.NSE,small
PFIZER.NSE,small
PWL.NSE,small
PINELABS.NSE,small
PIRAMALFIN.NSE,small
PPLPHARMA.NSE,small
POLYMED.NSE,small
POONAWALLA.NSE,small
